Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES
Cathepsin S	 3.3	Homo sapiens	N#Cc1nc(-c2ccc(OCCC3CCNCC3)c(c2)C#N)c2ccn(CC3CCOC3)c2n1
Cathepsin S	 3.3	Homo sapiens	CN1CCC[C@H]1C(=O)N1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(ccc23)C2COC2)C#N)CC1
Cathepsin S	 3.3	Homo sapiens	Cc1noc(C)c1CN1CCC(CCOc2ccc(cc2C(F)(F)F)-c2cc3n(C)cnc3c(n2)C#N)CC1
Cathepsin S	 3.3	Homo sapiens	Cn1c(nc2c(nc(nc12)C#N)-c1cnc(OCCC2CCNCC2)c(c1)C(F)(F)F)C(F)(F)F
Cathepsin S	 3.328	Homo sapiens	CCC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccc(cc1Cl)N1CCOCC1)C(=O)C(=O)NC1CC1
Cathepsin S	 3.4	Homo sapiens	CN1CCC[C@H]1C(=O)N1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(CC4CCCO4)ccc23)C#N)CC1
Cathepsin S	 3.4	Homo sapiens	CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)C1(C)CC1
Cathepsin S	 3.4	Homo sapiens	FC(F)(F)c1cc(cnc1OCCC1CCNCC1)-c1nc(nc2n(CC3CCOC3)ccc12)C#N
Cathepsin S	 3.4	Homo sapiens	CN1CCC[C@@H]1C(=O)N1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(C)cnc23)C#N)CC1
Cathepsin S	 3.466	Homo sapiens	Fc1cc(Cl)cnc1C1(CC1)C(=O)N1C[C@@H](C[C@H]1C(=O)NC1(CC1)C#N)Sc1cc(ccc1Cl)C(F)(F)F
Cathepsin S	 3.478	Homo sapiens	C[C@H](Oc1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CNC1)c1ncc(Br)cc1F)C(=O)NC1(CC1)C#N)C(F)(F)F
Cathepsin S	 3.5	Homo sapiens	FC(F)(F)c1cc(cnc1OCCC1CCNCC1)-c1nc(nc2n(CC3CCOCC3)ccc12)C#N
Cathepsin S	 3.5	Homo sapiens	CS(=O)(=O)Nc1ccc(cc1)C(=O)N[C@@H](C1CCCCC1)c1cn(nn1)C1(CC1)C#N
Cathepsin S	 3.5	Homo sapiens	CN1CCC[C@H]1C(=O)N1CCC(CCOc2ccc(cc2C(F)(F)F)-c2nc(nc3n(C)cnc23)C#N)CC1
Cathepsin S	 3.542	Homo sapiens	C[C@H](Oc1ccc(c(Cl)c1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CN(C1)C(=O)OC(C)(C)C)c1ncc(Br)cc1F)C(=O)NC1(CC1)C#N)C(F)(F)F
Cathepsin S	 3.55	Homo sapiens	FC(F)(F)CNC(=O)c1cnc(nc1N1CC[C@@H](C1)S(=O)(=O)c1ccc(cc1Cl)N1CCN(CC1)C1CC1)C#N
Cathepsin S	 3.57	Homo sapiens	OCc1ccccc1-c1ccc(cc1)S(=O)(=O)[C@@H]1C[C@H](N(C1)C(=O)C1(CC1)C(F)(F)F)C(=O)NC1(CC1)C#N
Cathepsin S	 3.6	Homo sapiens	CCOC(=O)CNC(=O)C(=O)C(COCc1ccccc1)NC(=O)[C@H](CC1CCCCC1)NC(=O)c1cc(SC)ccc1Cl
Cathepsin S	 3.6	Homo sapiens	FC(F)(F)c1ccccc1S(=O)(=O)[C@H]1C[C@H](CN2CCC(F)(F)C2)N(C1)c1ccnc(n1)C#N
Cathepsin S	 3.6	Homo sapiens	CN1CCC[C@H]1C(=O)N1CCCC(COc2ccc(cc2C(F)(F)F)-c2nc(nc3n(C)ccc23)C#N)C1
