Target Name	IC50 (nM)	Target Source Organism According to Curator or DataSource	Ligand SMILES	Potency
Cathepsin K	26.92	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1CN(CC1(C)C)C(=O)CCCc1ccccc1)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	27.0	Homo sapiens	COC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)N[C@@H](c1ccc(cc1)-c1ccc(cc1)S(C)(=O)=O)C(F)(F)F	2
Cathepsin K	27.0	Homo sapiens	CC(C)(F)C[C@H](N[C@@H](c1ccc(cc1)-c1ccc(cc1)S(C)(=O)=O)C(F)(F)F)C(=O)NC1CN(CC1=O)S(C)(=O)=O	2
Cathepsin K	27.0	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(CC1(C)C)C(=O)CCCc1ccccc1)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	27.0	Homo sapiens	CC(C)C(OC(=O)N[C@@H](Cc1ccccc1)C(=O)C(=O)NCc1cccs1)C(C)C	2
Cathepsin K	27.0	Homo sapiens	CCCC[C@H](NC(=O)OC(C(C)C)C(C)C)C(=O)C(=O)Nc1ccnn1CC1CC1	2
Cathepsin K	27.6	Homo sapiens	CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NC1CC1	2
Cathepsin K	27.7	Homo sapiens	C[C@@H]1CC[C@H](NC(=O)[C@H](CC2CCCC2)NC(=O)c2ccco2)C(=O)CN1S(=O)(=O)c1ccccn1	2
Cathepsin K	28.0	Homo sapiens	FC(F)(F)c1ccc(Nc2nc(nc(n2)N2CCNCC2)C#N)cc1	2
Cathepsin K	28.0	Homo sapiens	N#Cc1ccc(Nc2nc(nc(n2)N2CCNCC2)C#N)cc1	2
Cathepsin K	28.2	Homo sapiens	C[C@@H]1CC[C@H](NC(=O)[C@H](CC2CCCCCC2)NC(=O)c2ccco2)C(=O)CN1S(=O)(=O)c1ccccn1	2
Cathepsin K	28.7	Homo sapiens	CCC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(Cl)cc1)S(=O)(=O)c1ccc(Cl)cc1Cl)C(=O)C(=O)NC1CC1	2
Cathepsin K	28.84	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1CN(CC1(C)C)C(=O)Oc1ccccc1)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	29.0	Homo sapiens	CCCC[C@H](NC(=O)O[C@@H]1C(=O)N(CC1(C)C)C(=O)Oc1ccccc1)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	29.0	Homo sapiens	CN(CCC[C@H](NC(=O)OC(C)(C)C)C=O)C(=O)C(F)(F)F	2
Cathepsin K	29.9	Homo sapiens	COc1ccc(NCCNC(=O)[C@H](CC(C)C)NC(=O)c2cc3ccccc3[nH]2)cc1	2
Cathepsin K	30.0	Homo sapiens	[O-][N+](=O)c1cccc(Nc2nc(NC3CCNCC3)nc(n2)C#N)c1	2
Cathepsin K	30.0	Homo sapiens	Fc1ccc(Nc2nc(nc(n2)N2CCOCC2)C#N)cc1	2
Cathepsin K	30.0	Homo sapiens	FC(F)(F)CNCCCc1cc(nc(n1)C#N)-c1cccc(c1)C(F)(F)F	2
Cathepsin K	30.0	Homo sapiens	CC(C)C[C@H](NC(C#N)c1ccc(Br)cc1)C(=O)NCC#N	2
Cathepsin K	30.0	Homo sapiens	CC(C)(C)OC(=O)N[C@@H](CCc1ccccc1)C=O	2
Cathepsin K	30.0	Homo sapiens	CC(C)C[C@H](NC(=O)c1cc2cc(OCCN3CCOCC3)ccc2o1)C(=O)N[C@H]1CCCN(CC1=O)C(=O)Cc1cccc(c1)-c1ccccn1	2
Cathepsin K	30.1	Homo sapiens	CC[C@H](NC(=O)[C@@H]1C[C@H](CN1C(=O)C1(CC1)c1ccc(I)cc1)S(=O)(=O)c1ccccc1Cl)C(=O)C(=O)NC1CC1	2
Cathepsin K	31.0	Homo sapiens	CC(C)C[C@H](NC(=O)OC(C)(C)C)C=O	2
Cathepsin K	31.0	Homo sapiens	CCCC[C@H](NC(=O)OCC1(COc2ccnc(n2)N2CCN(CC2)c2ccccc2)CCC1)C(=O)C(=O)N[C@H](C)c1ccccc1	2
Cathepsin K	31.62	Homo sapiens	O=S(=O)(N[C@H]1CCN(C1)C#N)c1ccccc1	2
